image_name,label,label_no
2012_11_09.png,normal,1
2012_11_10.png,normal,1
2012_11_11.png,abnormal,2
2012_11_12.png,abnormal,2
2012_11_13.png,abnormal,2
2012_11_14.png,normal,1
2012_11_15.png,normal,1
2012_11_16.png,normal,1
2012_11_17.png,normal,1
2012_11_18.png,normal,1
2012_11_19.png,normal,1
2012_11_20.png,normal,1
2012_11_21.png,normal,1
2012_11_22.png,normal,1
2012_11_23.png,normal,1
2012_11_24.png,normal,1
2012_11_25.png,normal,1
2012_11_26.png,abnormal,2
2012_11_27.png,abnormal,2
2012_11_28.png,abnormal,2
2012_11_29.png,abnormal,2
2012_11_30.png,abnormal,2
2012_12_01.png,abnormal,2
2012_12_02.png,abnormal,2
2012_12_03.png,abnormal,2
2012_12_04.png,normal,1
2012_12_05.png,normal,1
2012_12_06.png,normal,1
2012_12_07.png,normal,1
2012_12_08.png,abnormal,2
2012_12_09.png,abnormal,2
2012_12_10.png,abnormal,2
2012_12_11.png,abnormal,2
2012_12_12.png,normal,1
2012_12_13.png,normal,1
2012_12_14.png,normal,1
2012_12_15.png,normal,1
2012_12_16.png,normal,1
2012_12_17.png,normal,1
2012_12_18.png,normal,1
2012_12_19.png,normal,1
2012_12_20.png,normal,1
2012_12_21.png,normal,1
2012_12_22.png,normal,1
2012_12_23.png,abnormal,2
2012_12_24.png,abnormal,2
2012_12_25.png,abnormal,2
2012_12_26.png,abnormal,2
2012_12_27.png,abnormal,2
2012_12_28.png,abnormal,2
2012_12_29.png,normal,1
2012_12_30.png,normal,1
2012_12_31.png,normal,1
2013_01_01.png,normal,1
2013_01_02.png,normal,1
2013_01_03.png,normal,1
2013_01_04.png,normal,1
2013_01_05.png,abnormal,2
2013_01_06.png,abnormal,2
2013_01_07.png,abnormal,2
2013_01_08.png,abnormal,2
2013_01_09.png,normal,1
2013_01_10.png,normal,1
2013_01_11.png,normal,1
2013_01_12.png,normal,1
2013_01_13.png,normal,1
2013_01_14.png,normal,1
2013_01_15.png,normal,1
2013_01_16.png,normal,1
2013_01_17.png,normal,1
2013_01_18.png,abnormal,2
2013_01_19.png,abnormal,2
2013_01_20.png,normal,1
2013_01_21.png,normal,1
2013_01_22.png,normal,1
2013_01_23.png,normal,1
2013_01_24.png,normal,1
